ReturnMean,TimestepsSoFar,Iteration,TimeElapsed,MountainCar_mu0_higher,NumTrajectories,MountainCar_mu1_higher,MountainCar_std1_higher,NumTrainableParams,AvgEpLen,ActionIn1,MountainCar_std0_higher,MinEpLen
-8.74218,999,1,0.33879661560058594,0.40025148,1,0.9164054,1.5,2,999.0,-2.806516,0.14999999,999
-5.5281873,1998,2,0.695732831954956,0.40025148,2,0.9164054,1.5,,999.0,0.35624534,0.14999999,999
-6.091261,2997,3,1.0354394912719727,0.40025148,3,0.9164054,1.5,,999.0,2.5821373,0.14999999,999
-5.4326096,3996,4,1.3287310600280762,0.40025148,4,0.9164054,1.5,,999.0,1.7445352,0.14999999,999
-7.021395,4995,5,1.5899755954742432,0.40025148,5,0.9164054,1.5,,999.0,1.9028891,0.14999999,999
-6.659697,5994,6,1.8516335487365723,0.40025148,6,0.9164054,1.5,,999.0,-0.45053133,0.14999999,999
-5.9800696,6993,7,2.1125986576080322,0.40025148,7,0.9164054,1.5,,999.0,1.8287985,0.14999999,999
-6.439659,7992,8,2.37667179107666,0.40025148,8,0.9164054,1.5,,999.0,1.1655666,0.14999999,999
-6.2065635,8991,9,2.6364448070526123,0.40025148,9,0.9164054,1.5,,999.0,3.859465,0.14999999,999
-7.461745,9990,10,2.9004366397857666,0.40025148,10,0.9164054,1.5,,999.0,0.93415797,0.14999999,999
-7.597564,10989,11,3.163057327270508,0.40025148,11,0.9164054,1.5,,999.0,2.4690218,0.14999999,999
-7.798301,11988,12,3.427917718887329,0.40025148,12,0.9164054,1.5,,999.0,2.5597415,0.14999999,999
-7.531413,12987,13,3.692225933074951,0.40025148,13,0.9164054,1.5,,999.0,1.7128575,0.14999999,999
-7.611005,13986,14,3.9561519622802734,0.40025148,14,0.9164054,1.5,,999.0,2.5324159,0.14999999,999
-7.490666,14985,15,4.220140218734741,0.40025148,15,0.9164054,1.5,,999.0,-0.23757309,0.14999999,999
-8.405319,15984,16,4.482036828994751,0.40025148,16,0.9164054,1.5,,999.0,3.4134874,0.14999999,999
-8.832214,16983,17,4.748899221420288,0.40025148,17,0.9164054,1.5,,999.0,1.7940481,0.14999999,999
-8.463872,17982,18,5.012839078903198,0.40025148,18,0.9164054,1.5,,999.0,4.5308104,0.14999999,999
-9.145471,18981,19,5.282137393951416,0.40025148,19,0.9164054,1.5,,999.0,-1.8896196,0.14999999,999
-9.02017,19980,20,5.546809196472168,0.40025148,20,0.9164054,1.5,,999.0,1.414119,0.14999999,999
-8.895064,20979,21,5.8126842975616455,0.40025148,21,0.9164054,1.5,,999.0,0.68479544,0.14999999,999
-8.825129,21978,22,6.0738444328308105,0.40025148,22,0.9164054,1.5,,999.0,0.056276307,0.14999999,999
-8.489961,22977,23,6.337174415588379,0.40025148,23,0.9164054,1.5,,999.0,2.5452654,0.14999999,999
-8.665005,23976,24,6.635690450668335,0.40025148,24,0.9164054,1.5,,999.0,4.597667,0.14999999,999
-8.407676,24975,25,6.8965582847595215,0.40025148,25,0.9164054,1.5,,999.0,2.1486979,0.14999999,999
-8.43124,25974,26,7.15943455696106,0.40025148,26,0.9164054,1.5,,999.0,-0.8291975,0.14999999,999
-8.316067,26973,27,7.422111988067627,0.40025148,27,0.9164054,1.5,,999.0,0.36716932,0.14999999,999
-8.439496,27972,28,7.6881325244903564,0.40025148,28,0.9164054,1.5,,999.0,0.4173339,0.14999999,999
-8.604587,28971,29,7.950270652770996,0.40025148,29,0.9164054,1.5,,999.0,0.68840414,0.14999999,999
-8.7512865,29970,30,8.210280179977417,0.40025148,30,0.9164054,1.5,,999.0,0.7602579,0.14999999,999
-9.013398,30969,31,8.472804069519043,0.40025148,31,0.9164054,1.5,,999.0,3.458213,0.14999999,999
-9.070311,31968,32,8.737021446228027,0.40025148,32,0.9164054,1.5,,999.0,0.70152926,0.14999999,999
-8.995222,32967,33,9.00466799736023,0.40025148,33,0.9164054,1.5,,999.0,0.4225685,0.14999999,999
-9.234713,33966,34,9.276555061340332,0.40025148,34,0.9164054,1.5,,999.0,2.4349873,0.14999999,999
-9.351578,34965,35,9.561046600341797,0.40025148,35,0.9164054,1.5,,999.0,2.025413,0.14999999,999
-9.341709,35964,36,9.827106475830078,0.40025148,36,0.9164054,1.5,,999.0,0.8461659,0.14999999,999
-9.257864,36963,37,10.092303276062012,0.40025148,37,0.9164054,1.5,,999.0,1.1297646,0.14999999,999
-9.190427,37962,38,10.362170457839966,0.40025148,38,0.9164054,1.5,,999.0,3.718853,0.14999999,999
-9.043741,38961,39,10.626355409622192,0.40025148,39,0.9164054,1.5,,999.0,1.3282199,0.14999999,999
-9.003163,39960,40,10.890482902526855,0.40025148,40,0.9164054,1.5,,999.0,0.29508016,0.14999999,999
-8.872379,40959,41,11.155042171478271,0.40025148,41,0.9164054,1.5,,999.0,-0.2989871,0.14999999,999
-8.678352,41958,42,11.416918754577637,0.40025148,42,0.9164054,1.5,,999.0,2.695348,0.14999999,999
-8.560412,42957,43,11.718533754348755,0.40025148,43,0.9164054,1.5,,999.0,4.0180016,0.14999999,999
