AvgEpLen,NumTrajectories,Iteration,AvgRet,MinEpLen,ReturnMax,StepSize,BatchSize,NatGrad2Norm,TimestepsSoFar,VarJ,J,NatGradInftyNorm,ReturnMean
32.04,100,1,-124.34259361542283,12,-79.72730046187708,0.0001,100,1.5215114,3204,0.09982817896570728,-95.0095428966096,1.241352,-95.0095428966096
27.56,200,2,-120.36864099953286,12,-61.12050357754578,0.0001,100,1.823793,2756,0.2184727718377239,-94.61814020315393,1.3802868,-94.81384154988176
37.47,300,3,-127.81774840875018,12,-50.07258218785997,0.0001,100,3.1736085,3747,0.3408853757202676,-94.36382340539274,1.8789804,-94.66383550171874
44.96,400,4,-132.94717790491856,12,-50.07258218785997,0.0001,100,3.446707,4496,0.13546672006006752,-95.10195731101712,2.877079,-94.77336595404334
24.13,500,5,-117.86472881644515,12,-50.07258218785997,0.0001,100,2.7528176,2413,0.08085717327590566,-95.31878492742389,2.3548267,-94.88244974871944
45.14,600,6,-135.1596711080438,11,-50.07258218785997,0.0001,100,1.8786806,4514,0.20355943346497493,-94.8426453395709,1.3910228,-94.87581568052804
40.84,700,7,-132.15294580769805,12,-50.07258218785997,0.0001,100,3.567474,4084,0.2474371103278012,-95.38630267144113,3.3660161,-94.94874239351562
27.82,800,8,-120.9725062079034,11,-50.07258218785997,0.0001,100,3.0825891,2782,0.17601159321101428,-94.95277293388466,2.382597,-94.94924621106176
34.79,900,9,-126.98116449761254,12,-50.07258218785997,0.0001,100,2.9701688,3479,0.07906547630911674,-95.69751056235685,1.7948865,-95.03238669453899
31.82,1000,10,-122.32326651191555,11,-28.408932162155192,0.0001,100,2.1800063,3182,0.6599254377937279,-94.25640427698445,1.3050297,-94.95478845278352
28.88,1100,11,-121.93101697654683,11,-28.408932162155192,0.0001,100,1.6891083,2888,0.11315492087483944,-94.75438851269244,1.259412,-94.9365702764116
36.36,1200,12,-127.6100247720024,12,-28.408932162155192,0.0001,100,2.2954473,3636,0.11246342165381636,-94.95518438843665,1.7574947,-94.93812145241368
43.72,1300,13,-132.7653783199772,11,-28.408932162155192,0.0001,100,2.020028,4372,0.37528275401465694,-94.19322495023762,1.6362681,-94.88082172147706
32.4,1400,14,-124.51327920737963,11,-28.408932162155192,0.0001,100,1.6205066,3240,0.10571652417344703,-94.89126320203752,1.3028332,-94.8815675415171
32.94,1500,15,-124.8578701429594,13,-28.408932162155192,0.0001,100,2.539748,3294,0.10577457416199863,-94.70345576302081,1.7227658,-94.86969342295069
42.34,1600,16,-126.00393996321786,12,-26.43981432368754,0.0001,100,3.292186,4234,0.6112779949896265,-94.36526994261705,1.9796847,-94.83816695542984
42.44,1700,17,-130.64016940704053,11,-26.43981432368754,0.0001,100,4.66687,4244,0.3754668597877955,-94.81628251658034,3.0646646,-94.83687963549751
31.85,1800,18,-122.77568059013637,12,-26.43981432368754,0.0001,100,3.7826428,3185,0.2532772602592108,-94.36527603001292,3.337412,-94.81067943519282
27.35,1900,19,-121.65629892632906,11,-26.43981432368754,0.0001,100,1.5453823,2735,0.04981272054114071,-95.87186051724353,1.038358,-94.86653107109022
30.23,2000,20,-122.66156908708872,12,-26.43981432368754,0.0001,100,4.0997243,3023,0.22073571020455598,-94.48578222630437,2.5238285,-94.84749362885091
27.27,2100,21,-120.77542057732744,11,-26.43981432368754,0.0001,100,1.9157526,2727,0.14159857481104288,-95.21852341409073,1.6924096,-94.86516171386234
28.22,2200,22,-120.48944539904016,11,-26.43981432368754,0.0001,100,1.5146419,2822,0.218813218474783,-94.40817207771295,1.0537899,-94.84438945767374
38.5,2300,23,-129.11109178399823,12,-26.43981432368754,0.0001,100,2.3414862,3850,0.34750996115611166,-94.07318909723766,1.5004889,-94.81085900722
34.46,2400,24,-124.99432845268446,11,-26.43981432368754,0.0001,100,1.8846958,3446,0.30283623019243977,-94.0369185791829,1.2979705,-94.77861148938511
26.49,2500,25,-118.18057439408899,13,-26.43981432368754,0.0001,100,2.3390398,2649,0.40950499794166895,-94.12914916785795,1.5048342,-94.75263299652403
26.84,2600,26,-119.38560352622076,12,-26.43981432368754,0.0001,100,3.0956898,2684,0.22483869298931686,-94.41940676542654,2.735755,-94.73981660302027
39.81,2700,27,-122.59885859442609,11,-26.43981432368754,0.0001,100,2.2985559,3981,0.9471389055023686,-93.00909607264197,1.4692312,-94.6757158426359
28.85,2800,28,-121.88581093743865,11,-26.43981432368754,0.0001,100,3.1329248,2885,0.1076092688359664,-94.86555373030276,2.348951,-94.68249576719542
37.12,2900,29,-129.46969075114967,12,-26.43981432368754,0.0001,100,3.0129845,3712,0.14179226510228596,-95.06849506682994,2.771204,-94.69580608787248
26.01,3000,30,-118.0117782341425,11,-26.43981432368754,0.0001,100,1.7892345,2601,0.4610969887223144,-94.19221628243068,1.074836,-94.6790197610244
32.98,3100,31,-125.90070228545139,12,-26.43981432368754,0.0001,100,3.4399712,3298,0.11251818417726055,-95.55094915130572,2.2624717,-94.70714651554962
41.61,3200,32,-130.89664810247302,13,-26.43981432368754,0.0001,100,0.9409758,4161,0.304831294451369,-94.38090962370019,0.7768068,-94.69695161267933
34.22,3300,33,-126.68516581719328,15,-26.43981432368754,0.0001,100,2.8389761,3422,0.11324753408253643,-95.20007841818386,2.6765392,-94.7121978795128
39.29,3400,34,-126.96175953512797,12,-26.43981432368754,0.0001,100,1.9409243,3929,0.1942536361826191,-94.28814282178597,1.3493683,-94.69972567193258
47.71,3500,35,-131.1964842787215,13,-26.43981432368754,0.0001,100,1.7035787,4771,0.6638214152802848,-93.5474089035191,1.2564651,-94.66680233569221
46.07,3600,36,-135.65678453226502,12,-26.43981432368754,0.0001,100,5.491149,4607,0.12529752416404397,-95.2190115215177,4.413388,-94.68214147974292
39.77,3700,37,-129.78911880170145,11,-26.43981432368754,0.0001,100,2.9506662,3977,0.440820472925427,-94.2686306123823,2.815365,-94.67096551035479
27.91,3800,38,-120.60039243481646,11,-26.43981432368754,0.0001,100,2.751327,2791,0.16569311050443708,-94.5975519539765,2.387999,-94.66903357466063
30.23,3900,39,-122.52735959205407,11,-26.43981432368754,0.0001,100,2.163236,3023,0.21254204774708907,-95.1238020655547,1.7952533,-94.68069430519638
36.26,4000,40,-123.86258222225972,11,-25.406601162624067,0.0001,100,5.8148623,3626,0.577932032775444,-94.84805559874601,5.1976094,-94.68487833753511
24.09,4100,41,-116.80013182082408,12,-25.406601162624067,0.0001,100,3.8775759,2409,0.11802039801241435,-94.5008797419395,2.694126,-94.68039056691083
26.61,4200,42,-120.00305027055305,12,-25.406601162624067,0.0001,100,5.0326977,2661,0.11533604207198182,-95.06919733027449,3.0626888,-94.68964787080044
38.9,4300,43,-126.94230123903888,11,-25.406601162624067,0.0001,100,2.3908696,3890,0.2862691973553083,-94.42012518675736,1.7846582,-94.6833799014041
32.64,4400,44,-125.10101950283219,11,-25.406601162624067,0.0001,100,2.1400716,3264,0.2865892992939316,-94.55751870024456,1.2089621,-94.68051941955957
35.71,4500,45,-126.2212100477829,11,-25.406601162624067,0.0001,100,4.889793,3571,0.17794181418758043,-94.3958704299376,3.391592,-94.67419388645685
36.05,4600,46,-127.3698153548431,11,-25.406601162624067,0.0001,100,1.5578364,3605,0.12747499725467526,-94.9930686191279,0.9946738,-94.68112594586275
36.62,4700,47,-128.51196860211874,11,-25.406601162624067,0.0001,100,1.578146,3662,0.09917600492712135,-95.48726325914173,1.4914216,-94.69827780359208
26.4,4800,48,-119.65872138963832,11,-25.406601162624067,0.0001,100,1.7297481,2640,0.11146981596096067,-94.92971959495954,1.3790313,-94.70309950757891
37.0,4900,49,-128.82304638570224,13,-25.406601162624067,0.0001,100,3.8484097,3700,0.14793141704895113,-95.49211934847963,2.4796162,-94.71920195331158
31.83,5000,50,-123.96863848085259,12,-25.406601162624067,0.0001,100,1.837305,3183,0.12462555150269933,-94.88732581954368,1.3039583,-94.72256443063621
