ReturnStepMax,DenMISEMeanLog,URet,target_sum_log_mean,MISE,IWLastEpisode,ReturnMax,DenMISELogLast,TimestepsSoFar,ReturnMean,LQGmu1,DenMISELogFirst,Iteration,TimeElapsed,Bound,IWMax,ReturnMin,IWMean,IWFirstEpisode,LQGmu01,ReturnLastEpisode,LQGsigma,IWMin,ReturnAbsMax
0.9625284,18.60218,16.687925283112612,18.78473,18.074266,1.2002747,15.058442,18.60218,20,15.058442,-0.11146593,18.60218,1,0.04904770851135254,18.074266,1.2002747,,1.2002747,1.2002747,-0.011192638,15.058442,0.11,,15.058442
0.9978268,19.81343,17.662259126015382,19.481834,12.684458,1.1770211,15.953459,20.929247,40,15.505951,-0.12427445,18.697615,2,1.2103080749511719,12.684458,1.1770211,,0.80736977,0.4377184,-0.012491372,15.953459,0.11,,15.953459
0.99914813,20.371645,17.87545329798533,20.579063,19.346285,1.1614151,16.148228,21.63829,60,15.720042,-0.11337404,18.490067,3,1.3141846656799316,19.346285,1.2723331,,1.2315217,1.260817,-0.0113858655,16.148228,0.11,,16.148228
0.9999799,19.963861,18.069441439995778,-779.9887,,,16.330574,18.571915,80,15.872676,0.6942795,18.553232,4,1.4013714790344238,,,,,,0.08540847,16.330574,0.11,,16.330574
0.9999799,3.7538414,9.495983479103293,-556.4134,19.936686,11.512921,16.330574,-60.19366,100,14.42982,0.5727334,18.33009,5,1.4371013641357422,19.936686,11.512921,,2.3025842,,0.06506605,8.658396,0.11,,16.330574
0.9999799,5.7615075,9.44347166688792,-430.99496,22.45712,7.597445,16.330574,15.51674,120,13.457817,0.5236612,18.147768,6,1.528505563735962,22.45712,8.017808,,2.6025422,,0.058071677,8.597807,0.11,,16.330574
0.9999799,7.6232696,9.395487438678437,-340.3604,23.376003,2.3963234,16.330574,18.052055,140,12.75737,0.47664562,17.993616,7,1.6359472274780273,23.376003,8.575118,,2.7119179,,0.05181702,8.55468,0.11,,16.330574
0.9999799,8.371781,9.432771632248537,-270.71655,25.710651,6.0660095,16.330574,12.688964,160,12.235886,0.42857847,17.860085,8,1.7423641681671143,25.710651,8.690078,,2.9844942,,0.045783374,8.585499,0.11,,16.330574
0.9999799,9.695446,9.418767939627578,-242.19084,15.338878,2.5386806,16.330574,19.10409,180,11.829145,0.43642837,17.742302,9,1.8501195907592773,15.338878,4.3104587,,1.7827201,,0.04674693,8.575228,0.11,,16.330574
0.9999799,10.0451975,9.44600032345602,-186.45735,8.169857,3.2378285,16.330574,12.639733,200,11.506438,0.3686788,17.636942,10,1.9619925022125244,8.169857,3.2378285,,0.9487256,,0.038670033,8.602071,0.11,,16.330574
0.9999799,10.461816,9.4699974783093,-405.46066,2.3402767,0.015407304,16.330574,14.728689,220,11.243943,1.0,17.541632,11,2.0652003288269043,2.3402767,1.6466377,,0.27304798,,0.99999774,8.61899,0.11,,16.330574
0.9999799,10.981415,9.376189617452123,-370.14926,3.855004,2.419189,16.330574,17.393635,240,11.018378,1.0,17.45462,12,2.1517136096954346,3.855004,2.419189,,0.45053908,,0.99999774,8.53716,0.11,,16.330574
0.9999799,10.9594965,9.40355792486515,-340.81104,4.0691524,1.0129269,16.330574,11.234303,260,10.829401,1.0,17.374578,13,2.1972272396087646,4.0691524,2.1810827,,0.4754519,,0.99999774,8.561674,0.11,,16.330574
0.9999799,11.361291,9.396797524370829,-315.22348,4.5204577,1.3744664,16.330574,17.096241,280,10.666885,1.0,17.30047,14,2.2446494102478027,4.5204577,2.0113935,,0.52818006,,0.99999774,8.554188,0.11,,16.330574
0.9999799,11.7457285,9.3673657816727,-292.98764,5.3121753,2.0664062,16.330574,17.58878,300,10.524528,1.0,17.231476,15,2.29461932182312,5.3121753,2.0664062,,0.6210785,,0.99999774,8.531523,0.11,,16.330574
0.9999799,11.980818,9.359467800704904,-273.63892,5.9381685,2.034352,16.330574,15.881852,320,10.399281,1.0,17.166939,16,2.347480535507202,5.9381685,2.034352,,0.69470066,,0.99999774,8.520557,0.11,,16.330574
0.9999799,12.301426,9.395780401423506,-256.4827,6.105922,1.3230298,16.330574,17.736586,340,10.290817,1.0,17.106314,17,2.399354934692383,6.105922,1.9176731,,0.7142003,,0.99999774,8.555416,0.11,,16.330574
0.9999799,12.583878,9.364274089170966,-241.21967,6.4922967,1.7882266,16.330574,17.670813,360,10.192853,1.0,17.049154,18,2.4573352336883545,6.4922967,1.8246479,,0.7596008,,0.99999774,8.527467,0.11,,16.330574
0.9999799,12.843281,9.39828050466212,-227.57857,6.579843,1.2301289,16.330574,17.754189,380,10.106809,1.0,16.995089,19,2.516767740249634,6.579843,1.7487493,,0.76971567,,0.99999774,8.558013,0.11,,16.330574
0.9999799,13.015131,9.372566289516161,-215.35147,6.8180437,1.5714694,16.330574,16.511086,400,10.02823,1.0,16.943794,20,2.578148603439331,6.8180437,1.6856415,,0.7976633,,0.99999774,8.535217,0.11,,16.330574
0.9999799,13.184465,9.397205152591248,-204.2888,6.886855,1.2092618,16.330574,16.77471,420,9.958113,1.0,16.895004,21,2.6405739784240723,6.886855,1.632347,,0.80562353,,0.99999774,8.555787,0.11,,16.330574
0.9999799,13.163785,9.30972694226515,-194.38976,7.167499,1.7606102,16.330574,12.92452,440,9.890752,1.0,16.848484,22,2.7065882682800293,7.167499,1.7606102,,0.8390995,,0.99999774,8.476177,0.11,,16.330574
0.9999799,12.913283,9.341639795315885,-185.58861,7.3580866,1.601839,16.330574,7.565136,460,9.830524,1.0,16.804033,23,2.772829055786133,7.3580866,1.7042496,,0.86166894,,0.99999774,8.50552,0.11,,16.330574
0.9999799,13.095085,9.380548487618455,-177.11676,7.4525676,1.3752847,16.330574,17.41732,480,9.776866,1.0,16.761473,24,2.841398000717163,7.4525676,1.6556667,,0.87267303,,0.99999774,8.54271,0.11,,16.330574
0.9999799,13.300586,9.375194388018883,-169.2841,7.5520124,1.4012947,16.330574,18.36225,500,9.727225,1.0,16.720652,25,2.923717975616455,7.5520124,1.6133542,,0.8843113,,0.99999774,8.535862,0.11,,16.330574
0.9999799,13.420923,9.35995700231125,-162.12233,7.6630344,1.4543228,16.330574,16.547384,520,9.680963,1.0,16.68143,26,2.9964046478271484,7.6630344,1.5761702,,0.8973844,,0.99999774,8.524358,0.11,,16.330574
0.9999799,13.665599,9.366397552698642,-155.35934,7.754044,1.414172,16.330574,20.132244,540,9.638228,1.0,16.64369,27,3.071875810623169,7.754044,1.5432394,,0.9080894,,0.99999774,8.527177,0.11,,16.330574
0.9999799,13.743851,9.384100289601736,-149.23256,7.796813,1.2703133,16.330574,15.950975,560,9.599172,1.0,16.607323,28,3.1498470306396484,7.796813,1.5138682,,0.9130427,,0.99999774,8.544607,0.11,,16.330574
0.9999799,13.913331,9.366947474180202,-143.42932,7.8682265,1.3682909,16.330574,18.748005,580,9.562336,1.0,16.572231,29,3.2330288887023926,7.8682265,1.4875096,,0.92142975,,0.99999774,8.530968,0.11,,16.330574
0.9999799,13.807165,9.389765488989338,-138.28288,7.8795877,1.1672512,16.330574,10.809164,600,9.528498,1.0,16.53833,30,3.3144352436065674,7.8795877,1.4637232,,0.9227028,,0.99999774,8.547193,0.11,,16.330574
0.9999799,13.6923,9.368068690281968,-133.48047,7.931082,1.305036,16.330574,10.325607,620,9.496226,1.0,16.505539,31,3.3996527194976807,7.931082,1.4421508,,0.9287711,,0.99999774,8.528096,0.11,,16.330574
0.9999799,13.725321,9.371305244419874,-128.83798,7.977847,1.2934114,16.330574,14.82208,640,9.466105,1.0,16.473791,32,3.491772174835205,7.977847,1.4224961,,0.93426305,,0.99999774,8.532341,0.11,,16.330574
0.9999799,13.826744,9.349889390082307,-124.40526,8.037531,1.3523755,16.330574,17.139898,660,9.437219,1.0,16.44302,33,3.5828895568847656,8.037531,1.4045137,,0.9413626,,0.99999774,8.512837,0.11,,16.330574
0.9999799,13.956856,9.349219994042016,-120.19907,8.091281,1.34158,16.330574,18.311058,680,9.40995,1.0,16.413166,34,3.680838108062744,8.091281,1.3879998,,0.9477721,,0.99999774,8.5101,0.11,,16.330574
0.9999799,14.085399,9.349946727080122,-116.227875,8.139153,1.3275216,16.330574,18.509943,700,9.384374,1.0,16.384178,35,3.773038148880005,8.139153,1.3727819,,0.953464,,0.99999774,8.514786,0.11,,16.330574
0.9999799,14.092389,9.396139817080776,-112.59695,8.1335745,1.10536,16.330574,14.385517,720,9.361355,1.0,16.356009,36,3.875675678253174,8.1335745,1.3587126,,0.952727,,0.99999774,8.555683,0.11,,16.330574
0.9999799,14.085782,9.427524550830592,-109.18941,8.028334,0.6604184,16.330574,13.896834,740,9.34041,1.0,16.32861,37,3.974769115447998,8.028334,1.3456664,,0.9402833,,0.99999774,8.586405,0.11,,16.330574
0.9999799,14.147011,9.368299598144555,-105.876625,8.064032,1.2496222,16.330574,16.473467,760,9.319104,1.0,16.30194,38,4.071385622024536,8.064032,1.3335361,,0.9444791,,0.99999774,8.530761,0.11,,16.330574
0.9999799,14.231538,9.392955005513295,-102.70984,8.074311,1.1362629,16.330574,17.50023,780,9.2993965,1.0,16.275965,39,4.182555198669434,8.074311,1.3222275,,0.9456276,,0.99999774,8.550511,0.11,,16.330574
0.9999799,14.374414,9.364835918232679,-99.63647,8.1088915,1.2495769,16.330574,20.002056,800,9.280056,1.0,16.250647,40,4.286126613616943,8.1088915,1.3116615,,0.94971216,,0.99999774,8.525787,0.11,,16.330574
0.9999799,14.229609,9.311443717593118,-96.992905,8.150725,1.2982508,16.330574,8.488817,820,9.260431,1.0,16.225954,41,4.396580219268799,8.150725,1.3017669,,0.9548333,,0.99999774,8.475416,0.11,,16.330574
0.9999799,14.236046,9.394034100931892,-94.33484,8.153462,1.1043969,16.330574,14.546317,840,9.243559,1.0,16.201857,42,4.502017259597778,8.153462,1.2924805,,0.9550943,,0.99999774,8.551833,0.11,,16.330574
0.9999799,14.29671,9.41970300187578,-91.75173,8.108995,0.85917634,16.330574,16.890491,860,9.228022,1.0,16.178328,43,4.614041566848755,8.108995,1.2837474,,0.9497841,,0.99999774,8.57543,0.11,,16.330574
0.9999799,14.335718,9.359840909346012,-89.296745,8.138665,1.2256885,16.330574,16.064129,880,9.212006,1.0,16.155336,44,4.747812032699585,8.138665,1.2755222,,0.9532951,,0.99999774,8.52335,0.11,,16.330574
0.9999799,14.371093,9.339597242009246,-86.95247,8.170789,1.2470055,16.330574,15.975096,900,9.19629,1.0,16.132864,45,4.860751628875732,8.170789,1.2677609,,0.95715326,,0.99999774,8.504817,0.11,,16.330574
0.9999799,14.431423,9.390539191091165,-84.68596,8.18003,1.124193,16.330574,17.18997,920,9.1822605,1.0,16.110886,46,4.9783689975738525,8.18003,1.260424,,0.9581848,,0.99999774,8.550871,0.11,,16.330574
0.9999799,14.2650385,9.366417702745133,-82.73905,8.199058,1.1791501,16.330574,6.653958,940,9.168374,1.0,16.089378,47,5.1001410484313965,8.199058,1.2534786,,0.9604259,,0.99999774,8.529611,0.11,,16.330574
0.9999799,14.304581,9.366184965768761,-80.674095,8.21989,1.191718,16.330574,16.203503,960,9.155051,1.0,16.068325,48,5.231554269790649,8.21989,1.2468938,,0.9628803,,0.99999774,8.528875,0.11,,16.330574
0.9999799,14.360284,9.373932220134169,-78.67605,8.236734,1.1714823,16.330574,17.07188,980,9.142366,1.0,16.047707,49,5.392648696899414,8.236734,1.2406428,,0.9648541,,0.99999774,8.533499,0.11,,16.330574
0.9999799,14.460313,9.373153867260676,-76.71138,8.253571,1.1733227,16.330574,19.397657,1000,9.130198,1.0,16.027504,50,5.516952037811279,8.253571,1.2346997,,0.96682596,,0.99999774,8.533902,0.11,,16.330574
0.9999799,14.370254,9.400672478756,-75.01273,8.244613,1.0184413,16.330574,9.901277,1020,9.118984,1.0,16.007702,51,5.6402647495269775,8.244613,1.2290442,,0.9657185,,0.99999774,8.558327,0.11,,16.330574
0.9999799,14.329548,9.38301209277501,-73.33163,8.253723,1.1231899,16.330574,12.288409,1040,9.107882,1.0,15.988283,52,5.78581690788269,8.253723,1.2236539,,0.9667669,,0.99999774,8.541701,0.11,,16.330574
0.9999799,14.330174,9.347935476105205,-71.67304,8.273552,1.1934297,16.330574,14.396722,1060,9.096641,1.0,15.969234,53,5.915881156921387,8.273552,1.2185125,,0.9691493,,0.99999774,8.512076,0.11,,16.330574
0.9999799,14.436064,9.375280395805742,-69.971245,8.287267,1.1551298,16.330574,20.079662,1080,9.086295,1.0,15.950542,54,6.046545505523682,8.287267,1.2136011,,0.9707462,,0.99999774,8.53797,0.11,,16.330574
